protein_id,cluster,assignment_confidence
A0LK21,1,1.0
A0A6B9L900,1,0.5843371
A0A7H0DNF7,0,1.0
A0A075B706,0,1.0
A0JXB1,1,1.0
A0LLH7,1,0.9999543
A0A5C1RF03,1,0.99998474
A0K577,1,0.9047491
A0A3T2V133,0,0.8972289
A0A0E4AY46,0,1.0
A0A078ISJ6,1,1.0
A0AI87,1,0.9956151
A0A0B4L1W8,1,1.0
A0AII5,1,1.0
A0A0H3NK84,1,0.9872795
A0A1L5BUX8,1,1.0
A0A2U9GHG9,1,0.9993288
A0Q8D9,1,1.0
A0KK62,1,0.8189332
A0A2H5AIX5,1,1.0
A0A142BX74,0,0.9999695
A0RMD6,1,0.9995881
A0PXX3,1,1.0
A0KBI0,0,0.9995271
A0A218QWY8,0,0.97050595
A0A0D1C1H8,0,1.0
A0A096XJN4,1,0.97967106
A0A3B3IU63,0,1.0
A0KS60,1,1.0
A0PLU9,1,1.0
A0A0U5GJ41,1,0.99998474
A0RM99,0,1.0
A0KLP0,1,1.0
A0KZP6,1,0.9996796
A0A1E4S2N7,1,0.99998474
A0A6M3Z4E7,0,1.0
A0RMK6,0,1.0
A0A885,1,1.0
A0JPK3,1,0.9207934
A0PKB4,1,1.0
A0A0D2YFZ7,1,0.9989782
A0L1J9,1,1.0
A0A1U8QLG8,1,0.9999084
A0A4P8DJV2,1,1.0
A0A384JQF5,1,1.0
A0LIK4,1,1.0
A0AKX6,0,0.99983215
A0KNU5,0,1.0
A0LY87,1,1.0
A0A0B4FAW4,1,0.97753584
A0A150XSR0,1,0.99975586
A0KIV0,0,0.9999084
A0A075B6Y3,0,1.0
A0M8V0,1,0.9937331
A0AG16,1,1.0
A0K3V4,0,0.99998474
A0QL14,1,1.0
A0Q842,0,0.967844
A0A3B3IT33,1,0.793023
A0AIZ4,0,0.99943554
A0A0R4IDX9,1,0.99935937
A0KN28,1,1.0
A0QVI7,1,1.0
A0KWF0,1,1.0
A0QRG8,1,1.0
A0A2I6PJ08,1,1.0
A0A443HJY8,1,1.0
A0KF38,1,1.0
A0KKK7,1,1.0
A0A140JWT2,1,0.99998474
A0M3L3,0,0.99931353
A0KGM6,1,1.0
A0LHJ3,1,1.0
A0JMQ0,1,1.0
A0M3Z6,1,1.0
A0A7H0DNE9,1,0.99868864
A0R018,1,1.0
A0A5C1RDA3,1,1.0
A0A1V0QSE8,1,1.0
A0JWN0,1,1.0
A0LAG9,0,0.9995881
A0B5P3,1,1.0
A0A075B6S0,0,1.0
A0BKG2,1,0.97408146
A0JMU8,1,0.98289037
A0A284RE13,1,0.99998474
A0KSI2,1,1.0
A0A2R8Y2Y2,0,1.0
A0JN87,1,1.0
A0A3G9HB50,1,1.0
A0PVP6,1,0.99777466
A0PQ79,1,1.0
A0A1V0HUU2,1,1.0
A0LSX5,1,1.0
A0L516,1,1.0
A0Q8G4,1,0.9998017
A0A1B0GRQ0,1,1.0
A0K437,1,1.0
A0L4W0,1,1.0
A0A455LLW5,1,0.9958582
A0A0U8UFF4,0,0.9973029
A0A1U8QK63,1,0.9995881
A0KHV1,1,1.0
A0A0U5GHH9,0,1.0
A0A345BJP1,1,0.99998474
A0PLU7,1,1.0
A0QAT1,1,1.0
A0A1B0GTU2,1,0.52384436
A0A1D8PNP3,1,1.0
A0A075B6R0,1,1.0
A0PYX6,1,0.99998474
A0LSV2,1,1.0
A0A4P8DJW8,1,1.0
A0A3T0QHS4,0,1.0
A0A0J5WTU0,1,0.99998474
A0A067XMK8,1,0.9992831
A0A1D6GDY8,1,1.0
A0A1D8PH21,0,0.96819854
A0A1D8PG16,0,1.0
A0LPG2,1,1.0
A0KF07,0,0.9844664
A0A391NZA8,1,0.99908495
A0PYW1,1,0.9999543
A0JX76,1,1.0
A0LJ00,1,1.0
A0A0B5A7N8,0,1.0
A0A340,0,0.9998931
A0JN86,1,1.0
A0A2R4LMF9,1,1.0
A0KX28,1,1.0
A0Q5I9,1,1.0
A0K5Q6,0,1.0
A0A140F3K7,0,1.0
A0QS30,1,0.9999695
A0A087WT02,1,1.0
A0A3G9K3N1,0,0.8385711
A0LTM0,1,1.0
A0A0U5GQ05,1,0.99998474
A0JXW1,1,0.82723475
A0JC77,1,0.99998474
A0QHB4,1,1.0
A0AJW1,1,1.0
A0QU33,1,1.0
A0KF31,1,1.0
A0A4P8DK01,1,0.99896294
A0A2I1C3Y3,1,0.9999695
A0RDM5,0,1.0
A0A345BJN5,1,1.0
A0Q864,1,1.0
A0A0H2VAP9,1,1.0
A0JNC4,0,0.7879209
A0LI20,1,1.0
A0KUJ2,1,1.0
A0A0J9YXQ4,0,1.0
A0A3G1QTU5,1,0.9998931
A0PWM1,1,0.98059845
A0RMD0,1,0.54425496
A0A3B1EFQ1,1,1.0
A0JMK8,1,0.9959798
A0A0B4J262,1,1.0
A0M7D3,1,0.9998931
A0A0U3LQ20,1,0.9997406
A0A0D1DYJ6,1,1.0
A0A3B3IS91,0,1.0
A0LI08,0,0.99922216
A0A315,0,1.0
A0A2Z5Z9H5,1,0.95125556
A0KHH3,1,1.0
A0A1B2LS07,0,1.0
A0RET0,1,1.0
A0Q6A6,1,1.0
A0AIU5,1,0.99943554
A0A0B5ABE6,0,1.0
A0Q388,1,1.0
A0A1V6NWP3,1,1.0
A0A023IWK6,0,1.0
A0JNQ6,0,0.99983215
A0A1L9WQN2,0,1.0
A0R518,1,1.0
A0A1S3ZQ17,1,0.9994508
A0A023PXP4,0,1.0
A0A024B7I0,1,0.9986429
A0L113,1,1.0
A0QDI7,1,1.0
A0A5P8DI06,1,0.9999543
A0A3Q8GYY4,1,0.9999695
A0A7J6K338,1,1.0
A0A0P0BZQ8,0,1.0
A0A023PYJ0,0,1.0
A0R8U9,1,1.0
A0LCX6,1,1.0
A0A023W163,0,1.0
A0PM64,1,1.0
A0QL10,0,1.0
A0A286YFB4,0,1.0
A0A379,0,1.0
A0ALD9,1,1.0
A0A7H0DN22,1,0.9772375
A0A0H3CEP9,1,1.0
A0QHY0,1,1.0
A0A0S2IHL2,1,1.0
A0KKW8,1,1.0
A0K3P4,1,0.9999695
A0A411PQN9,1,1.0
A0A7G5KLV2,0,0.9995728
A0LL24,1,0.9845415
A0A0H2XG66,0,0.84525126
A0A336U965,1,1.0
A0B6C9,1,1.0
A0A023PXK7,0,1.0
A0KJU2,1,1.0
A0RNT0,1,1.0
A0ALW8,1,0.99992365
A0AGM5,1,0.99998474
A0A0E4AE82,1,1.0
A0QNJ3,0,1.0
A0A023PXF5,1,0.5052311
A0Q099,0,0.99978644
A0A075TRL5,1,1.0
A0A1S4D1D3,1,0.5804714
A0QV01,1,0.99998474
A0KKD3,1,1.0
A0B5J1,1,1.0
A0A2K9RG08,1,0.99998474
A0A0B4J277,1,1.0
A0RBM1,1,0.99998474
A0QTU8,1,0.99868864
A0AIG0,0,0.998841
A0A2I1C3T5,1,1.0
A0A0K3AV08,1,0.9999084
A0QGP2,1,1.0
A0B6X8,0,0.99992365
A0JPB5,0,0.99992365
A0JM56,1,0.99998474
A0A1B1WAJ0,1,0.9916428
A0KNV3,1,1.0
A0A2H3D1U1,1,0.9999695
A0B7W4,1,1.0
A0A2G5I8H1,1,0.9951594
A0A1L8G016,1,0.9999695
A0QXE4,1,1.0
A0KCF0,1,1.0
A0KVI3,0,0.99981695
A0A0S6XAX9,0,1.0
A0A0C6DRT7,1,1.0
A0QJV4,1,1.0
A0KMP9,0,0.9816015
A0JUZ7,1,1.0
A0QTU9,1,1.0
A0KZN2,1,0.99998474
A0R980,1,1.0
A0M367,1,1.0
A0L1J8,1,0.9980183
A0JZ10,1,1.0
A0R1Y4,1,1.0
A0LRF2,1,1.0
A0A060L4I9,0,1.0
A0L5N9,1,0.99998474
A0A0H2ZQL5,1,0.9986581
A0A023IWM6,0,1.0
A0A0H3CC47,0,0.9892851
A0A084R1M6,1,0.99998474
A0A0B4J1N3,0,0.97980565
A0A2R6P624,1,1.0
A0A384JIP2,1,1.0
A0Q4H7,1,0.949356
A0KF23,1,1.0
A0A385AJM6,0,0.96198416
A0PYB3,1,1.0
A0B9P3,0,1.0
A0A2Y9HRM2,0,0.9999695
A0KFV3,1,1.0
A0Q5W0,1,0.90585417
A0A1I9LMX5,0,1.0
A0R8H8,1,1.0
A0A0H2VCA1,0,0.9973485
A0KAG0,1,0.87032765
A0B5W6,1,0.9071821
A0Q0Z7,1,0.99902385
A0KXU4,0,0.99998474
A0A0D1E6L2,1,1.0
A0KW27,1,0.99462813
A0B8P7,0,1.0
A0AIG8,1,0.9993288
A0RMM6,1,0.99890196
A0RAB9,1,1.0
A0KAS6,1,1.0
A0QU81,0,0.99896294
A0LEQ3,1,0.9852929
A0KRQ2,1,1.0
A0PM81,1,1.0
A0LE14,1,1.0
A0A075B6Q5,1,0.57402384
A0RHL7,1,1.0
A0A1L9URE0,1,1.0
A0QSS4,1,1.0
A0A0A7HB61,1,1.0
A0A455LM26,1,0.98575914
A0JYZ6,0,0.999939
A0A1U7QUM6,0,0.99998474
A0A0C4DH68,1,0.99998474
A0A0U1RGY0,1,1.0
A0R8G1,1,0.9999543
A0PXA8,1,1.0
A0A1L9UR19,1,1.0
A0PNH7,1,1.0
A0Q3U6,1,0.99412733
A0PXV2,1,1.0
A0K8R4,1,1.0
A0PM24,1,1.0
A0B8J2,0,1.0
A0A096P2H6,0,1.0
A0PRE9,1,0.999939
A0A1D8PNQ6,0,1.0
A0QIY2,1,1.0
A0KZR5,1,1.0
A0AAR7,1,1.0
A0Q6H3,1,0.9996644
A0KRP6,1,1.0
A0K486,1,1.0
A0QU35,1,0.93639344
A0A0H3KAV3,0,0.94725776
A0JMY4,1,0.61753154
A0A7H0DN97,0,0.9978965
A0A084API3,1,0.99998474
A0KEX6,1,0.9998474
A0QAB4,1,0.5741816
A0R5K4,1,1.0
A0Q2Q9,1,0.9999543
A0A0B5LB52,1,0.89403105
A0AG36,1,0.99998474
A0PP05,1,1.0
A0QRF3,0,0.99931353
A0B9L2,0,0.9134326
A0L481,1,1.0
A0A0H3JXA3,1,0.9994051
A0A067YBQ3,1,0.99981695
A0JZ68,1,1.0
A0L4S0,1,1.0
A0K833,0,0.8812051
A0RI44,1,1.0
A0PT80,1,0.9996796
A0Q060,1,1.0
A0KEG9,1,1.0
A0LTX3,1,1.0
A0LVS5,1,0.98430115
A0Q5Y6,1,0.99760723
A0A3S9NM20,1,1.0
A0QZY0,1,1.0
A0Q6Y1,1,0.9992526
A0A0C4DH34,1,0.99964917
A0K2V4,0,0.9716173
A0K8D3,1,1.0
A0K476,1,0.94874775
A0A2Z5CVQ4,1,0.99992365
A0A023IWD9,0,1.0
A0A023FFB5,0,1.0
A0B5L3,0,0.9999543
A0R8A3,1,1.0
A0AJ48,1,1.0
A0A1P8NVU1,0,1.0
A0JVK2,1,1.0
A0A1D6IEG9,0,0.94060355
A0A8C2MDK8,1,0.9992831
A0LDR7,0,1.0
A0A095C325,1,1.0
A0QU29,1,1.0
A0LU53,1,1.0
A0A349,0,1.0
A0A1E3B0T2,1,0.9998931
A0A067XMP1,1,1.0
A0A411KUU5,1,1.0
A0A1L6Z3A5,1,0.99992365
A0A321,0,1.0
A0KHC9,1,1.0
A0K3Q6,1,1.0
A0A0E4FKF7,1,1.0
A0KRN5,1,0.99998474
A0A140N890,1,1.0
A0QFS9,1,0.99943554
A0Q4K0,1,1.0
A0R3H2,1,0.99879533
A0PQE7,1,1.0
A0A097SRX8,0,1.0
A0QL35,1,1.0
A0PY57,1,1.0
A0RB61,1,1.0
A0LEH2,1,1.0
A0Q7F4,1,1.0
A0A023FT45,0,1.0
A0A1S4NYE4,0,0.9997406
A0A0K8RE99,1,0.9283694
A0LPF9,1,0.9992069
A0K4Y3,1,0.9993746
A0A6B7FA07,0,1.0
A0A4Z3,1,0.9993746
A0A7H0DN24,0,0.9999543
A0QCX6,1,1.0
A0A061FKL9,1,0.9948558
A0B7H6,1,1.0
A0Q150,0,1.0
A0A517FND3,1,1.0
A0LIZ8,1,0.9986276
A0A1L9WVI3,1,1.0
A0QSG0,1,1.0
A0A069CUU9,1,1.0
A0AL16,0,1.0
A0JZ93,1,0.99998474
A0LW38,0,1.0
A0KJD8,0,0.9088031
A0KHV5,1,0.99998474
A0A0A6YYL3,1,0.9964662
A0A0D1E015,1,0.88201225
A0Q4J8,1,0.9997101
A0A7H0DN28,0,0.5668431
A0A075B6J6,1,0.99981695
A0A084R1I4,1,1.0
A0M575,1,1.0
A0A072VMJ3,1,0.99998474
A0RK86,1,1.0
A0Q7Q7,1,1.0
A0A023PXB9,0,1.0
A0AHH9,0,0.7372412
A0LIK5,1,0.99998474
A0K6X6,1,0.97418547
A0KG33,1,1.0
A0A1V1FNM9,1,1.0
A0KR64,0,1.0
A0KFC0,1,1.0
A0A0D2Y4S0,0,0.99998474
A0QNG6,1,1.0
A0QJH8,1,1.0
A0QGN7,0,1.0
A0PR48,0,0.9996339
A0L5Y7,1,1.0
A0A0M4FMK2,1,0.99792695
A0PNH1,1,1.0
A0A075B6I1,1,0.9998627
A0A023W123,1,0.9955696
A0AIF0,1,1.0
A0A4V1E8I5,1,1.0
A0AIG3,0,0.9999543
A0PKF8,1,0.95170563
A0A3G1DJF3,1,1.0
A0L170,1,1.0
A0KWE9,1,0.9999084
A0KF27,1,1.0
A0A2I6EDN5,0,1.0
A0A4P8GG75,1,1.0
A0RCM7,1,1.0
A0A2I6PJ07,1,0.99998474
A0B8S7,0,1.0
A0LD67,0,0.7244062
A0A097ZPE6,1,0.9866621
A0A0U1LQE2,1,1.0
A0A5B6,1,1.0
A0B645,0,0.6894215
A0KYB9,1,1.0
A0A0H3H7Y9,1,0.76426196
A0PYX0,0,0.9830103
A0A0K8RKE4,0,0.99626863
A0QIB8,1,0.99998474
A0A0D2YFZ8,1,1.0
A0AKD7,1,0.99998474
A0A1L8HCK2,0,0.9491098
A0A0S6XH49,1,1.0
A0QTG1,1,1.0
A0A1Y0BRF2,1,0.9996796
A0QHC1,1,1.0
A0A1B0GUJ8,0,0.80411136
A0A0C2SRU5,1,0.99935937
A0JNJ1,1,1.0
A0KK38,0,0.999939
A0B212,1,1.0
A0KZ17,1,1.0
A0A0B4HQH6,1,0.999939
A0A2Z5XAK7,0,1.0
A0R8W4,1,1.0
A0AIC6,1,1.0
A0A2R6QXF8,1,1.0
A0ALL2,1,0.9992374
A0L242,1,1.0
A0AKC5,1,1.0
A0A0D9S1R0,0,1.0
A0JX41,0,0.53078
A0A2G5ICZ9,1,1.0
A0A125S9D9,0,0.99949664
A0R7F7,1,0.9966943
A0LXZ7,1,1.0
A0A482N9V7,1,0.99899346
A0A0F8XMN8,0,1.0
A0LRN2,1,0.99983215
A0A0H2WZQ7,1,0.99998474
A0A1C5G2D0,0,1.0
A0A096ZEC9,1,0.999939
A0A0K1YW63,0,0.9987801
A0PP79,1,1.0
A0A0P1B5K4,1,0.9725814
A0KEN2,1,1.0
A0A1B0GTB2,0,1.0
A0A023PXH2,0,1.0
A0A0F7U103,1,1.0
A0QAU8,1,1.0
A0QSD3,1,1.0
A0PUL2,0,0.9111358
A0B5B1,1,0.9691445
A0LHK5,1,0.9998474
A0A077EW86,1,1.0
A0LWS7,1,0.9403453
A0LI66,1,0.7734479
A0A140F3K6,1,0.9187724
A0L3M6,1,1.0
A0KHC4,1,1.0
A0A2H3D8Y2,1,1.0
A0R7K1,1,1.0
A0A1W6GW18,0,1.0
A0RMI8,0,0.9970898
A0A384E129,0,0.9672388
A0A455LLX1,1,0.99998474
A0NDG6,1,1.0
A0KW34,1,1.0
A0A140JWT9,1,1.0
A0Q8E3,0,1.0
A0JX72,1,1.0
A0QL19,1,0.9999695
A0A3G9K3K9,1,1.0
A0A2K9RFZ8,1,0.9999543
A0LWH7,1,1.0
A0A1W2PQL4,0,0.99998474
A0A0H3JNB0,1,1.0
A0Q4K8,1,0.9971506
A0A2R4QKX7,0,0.99981695
A0PR46,1,0.99905443
A0PXV1,0,0.99890196
A0PXW3,1,1.0
A0Q4Q1,1,1.0
A0LEE9,1,1.0
A0A067XMP0,1,0.99949664
A0Q5K3,1,1.0
A0QQ39,0,0.9777298
A0PW60,1,1.0
A0PM39,1,0.9999695
A0Q5P9,1,1.0
A0A179HME7,1,1.0
A0M2G0,1,1.0
A0LTS3,0,0.9996948
A0A084AFG8,1,0.99998474
A0A1I9LM04,1,1.0
A0RI59,1,1.0
A0A2H3D905,1,1.0
A0PLM7,1,0.9785655
A0A023IWM4,0,1.0
A0A494BZU4,1,0.7617588
A0KZQ7,1,1.0
A0Q2Z7,0,0.9812719
A0LD65,0,0.9885758
A0A1V6NWD3,1,0.999939
A0KF11,1,1.0
A0Q860,0,0.97701395
A0KSX4,0,0.9989782
A0AWY9,1,1.0
A0Q1R4,1,0.99998474
A0A3Q7I9E2,1,1.0
A0A3G3C7W0,0,1.0
A0AIY0,1,1.0
A0AK92,1,1.0
A0KG66,1,1.0
A0A1B0GX56,1,0.9995881
A0K3N1,1,1.0
A0L2E7,1,0.9999695
A0A0G2L7I0,0,0.9983839
A0A1C9J6A7,0,0.9506606
A0RMT3,1,1.0
A0LJ41,0,0.9989325
A0A455M2Z1,1,1.0
A0PRE5,1,1.0
A0A017SPL2,0,1.0
