protein_id,cluster
A0A3G1DJF3,0
A0L170,1
A0KWE9,1
A0KF27,1
A0A2I6EDN5,0
A0A4P8GG75,0
A0RCM7,1
A0A2I6PJ07,0
A0B8S7,0
A0LD67,1
A0A097ZPE6,0
A0A0U1LQE2,0
A0A5B6,0
A0B645,0
A0KYB9,1
A0A0H3H7Y9,0
A0PYX0,0
A0A0K8RKE4,0
A0QIB8,1
A0A0D2YFZ8,0
A0AKD7,1
A0A1L8HCK2,1
A0A0S6XH49,0
A0QTG1,1
A0A1Y0BRF2,0
A0QHC1,1
A0A1B0GUJ8,0
A0A0C2SRU5,0
A0JNJ1,0
A0KK38,0
A0B212,1
A0KZ17,1
A0A0B4HQH6,0
A0A2Z5XAK7,0
A0R8W4,1
A0AIC6,1
A0A2R6QXF8,0
A0ALL2,1
A0L242,1
A0AKC5,1
A0A0D9S1R0,0
A0JX41,1
A0A2G5ICZ9,0
A0A125S9D9,0
A0R7F7,1
A0LXZ7,1
A0A482N9V7,0
A0A0F8XMN8,0
A0LRN2,1
A0A0H2WZQ7,1
A0A1C5G2D0,0
A0A096ZEC9,0
A0A0K1YW63,0
A0PP79,1
A0A0P1B5K4,0
A0KEN2,1
A0A1B0GTB2,0
A0A023PXH2,0
A0A0F7U103,0
A0QAU8,1
A0QSD3,1
A0PUL2,1
A0B5B1,1
A0LHK5,1
A0A077EW86,0
A0LWS7,1
A0LI66,1
A0A140F3K6,0
A0L3M6,1
A0KHC4,1
A0A2H3D8Y2,1
A0R7K1,1
A0A1W6GW18,0
A0RMI8,1
A0A384E129,0
A0A455LLX1,0
A0NDG6,0
A0KW34,1
A0A140JWT9,0
A0Q8E3,1
A0JX72,1
A0QL19,1
A0A3G9K3K9,0
A0A2K9RFZ8,0
A0LWH7,1
A0A1W2PQL4,0
A0A0H3JNB0,0
A0Q4K8,1
A0A2R4QKX7,0
A0PR46,1
A0PXV1,1
A0PXW3,1
A0Q4Q1,1
A0LEE9,1
A0A067XMP0,0
A0Q5K3,1
A0QQ39,0
A0PW60,1
A0PM39,1
A0Q5P9,1
A0A179HME7,0
A0M2G0,1
A0LTS3,1
A0A084AFG8,0
A0A1I9LM04,0
A0RI59,1
A0A2H3D905,0
A0PLM7,1
A0A023IWM4,0
A0A494BZU4,0
A0KZQ7,1
A0Q2Z7,1
A0LD65,1
A0A1V6NWD3,0
A0KF11,1
A0Q860,1
A0KSX4,0
A0AWY9,1
A0Q1R4,1
A0A3Q7I9E2,0
A0A3G3C7W0,0
A0AIY0,1
A0AK92,1
A0KG66,1
A0A1B0GX56,0
A0K3N1,1
A0L2E7,1
A0A0G2L7I0,0
A0A1C9J6A7,0
A0RMT3,1
A0LJ41,1
A0A455M2Z1,0
A0PRE5,1
A0A017SPL2,0
